index（序号）,model（模型名称）,url（页面路径）,type（模型类型）,mode（流程模式）,implementation_status（实施状态）,primary_keyword（主关键词）,commercial_keyword（商业/行动关键词）,secondary_keywords（副关键词簇）,intent（搜索意图）,sv_us_proxy（国家代理搜索量）,global_search_volume（全球搜索量）,keyword_difficulty（关键词难度 KD）,traffic_potential（流量潜力）,cpc_us_proxy（国家代理 CPC）,metric_notes（指标备注）,keyword_join（关键词匹配审计）,content_coverage_summary（内容覆盖汇总）,title_status（SEO 标题状态）,title_keyword_refs（SEO 标题关联关键词）,meta_description_status（Meta 描述状态）,meta_description_keyword_refs（Meta 描述关联关键词）,h1_status（H1 主标题状态）,h1_keyword_refs（H1 主标题关联关键词）,opening_status（首段/开场回答状态）,opening_keyword_refs（首段/开场回答关联关键词）,h2_topics_status（H2 主题状态）,h2_topics_keyword_refs（H2 主题关联关键词）,api_access_status（API/访问状态）,api_access_keyword_refs（API/访问关联关键词）,pricing_status（价格状态）,pricing_keyword_refs（价格关联关键词）,use_cases_status（使用场景状态）,use_cases_keyword_refs（使用场景关联关键词）,comparison_status（对比状态）,comparison_keyword_refs（对比关联关键词）,prompt_library_status（Prompt 示例状态）,prompt_library_keyword_refs（Prompt 示例关联关键词）,faq_status（FAQ 常见问题状态）,faq_keyword_refs（FAQ 常见问题关联关键词）,schema_status（结构化数据状态）,schema_keyword_refs（结构化数据关联关键词）,canonical_hreflang_status（Canonical/Hreflang状态）,canonical_hreflang_keyword_refs（Canonical/Hreflang关联关键词）,internal_links_status（内链状态）,internal_links_keyword_refs（内链关联关键词）,faq_source（FAQ 来源）,faq_questions_count（FAQ 问题数）,fact_boundary（事实边界）,notes（备注）,source_evidence（数据来源）
26,gemini-3.1-flash-tts-preview,/models/gemini-3.1-flash-tts-preview,audio,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-3.1-flash-tts-preview,gemini-3.1-flash-tts-preview pricing,gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,branded/informational (inferred),20,100,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-3.1-flash-tts-preview,covered,gemini-3.1-flash-tts-preview · gemini-3.1-flash-tts-preview pricing,covered,gemini-3.1-flash-tts-preview,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,not_applicable,,covered,gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing · gemini-3.1-flash-tts-preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,covered,gemini-3.1-flash-tts-preview pricing · gemini-3.1-flash-tts-preview pricing · gemini 3.1 flash tts preview pricing,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
27,gpt-5.4-mini,/models/gpt-5.4-mini,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-5.4-mini,openai api pricing gpt-5.4 mini $0.75 $4.50 2026,openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,informational+commercial+branded,200,1200,,,3000,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-5.4-mini,covered,gpt-5.4-mini · openai api pricing gpt-5.4 mini $0.75 $4.50 2026,covered,gpt-5.4-mini,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,not_applicable,,covered,openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name · openai api pricing gpt-5.4 mini $0.75 $4.50 2026,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,covered,openai api pricing gpt-5.4 mini $0.75 $4.50 2026 · openai gpt-5.4 mini model · gpt-5.4 mini benchmarks · gpt-5.4-mini api model name,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
28,gpt-5.6-luna,/models/gpt-5.6-luna,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-5.6-luna,gpt 5.6 luna pricing,gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,informational+branded,60,350,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-5.6-luna,covered,gpt-5.6-luna · gpt 5.6 luna pricing,covered,gpt-5.6-luna,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,not_applicable,,covered,gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra · gpt 5.6 luna pricing,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,covered,gpt 5.6 luna pricing · gpt-5.6 luna terra sol · gpt 5.6 luna pricing · gpt 5.6 luna terra,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
29,deepseek-v3.2,/models/deepseek-v3.2,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,deepseek-v3.2,deepseek-v3.2 api pricing,deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,informational+transactional+branded,350,1900,,,130,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,deepseek-v3.2,covered,deepseek-v3.2 · deepseek-v3.2 api pricing,covered,deepseek-v3.2,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,not_applicable,,covered,deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten · deepseek-v3.2 api pricing,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,covered,deepseek-v3.2 api pricing · deepseek-v3.2 api pricing · deepseek-v3.2 paper arxiv 2512.02814 · deepseek v3.2 685b parameters ttft baseten,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
30,claude-opus-5,/models/claude-opus-5,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,claude-opus-5,how to use opus 5 in claude code,claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,branded/informational (inferred),30,150,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,claude-opus-5,covered,claude-opus-5 · how to use opus 5 in claude code,covered,claude-opus-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,not_applicable,,covered,claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5 · how to use opus 5 in claude code,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,covered,how to use opus 5 in claude code · claude-opus-4-5-20251101 · how to use opus 5 in claude code · claude opus 4-5,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
31,gemini-3-pro-image,/models/gemini-3-pro-image,image,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-3-pro-image,gemini-3-pro-image-preview google api,gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),branded/informational (inferred),30,150,,,,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,gemini-3-pro-image,covered,gemini-3-pro-image · gemini-3-pro-image-preview google api,covered,gemini-3-pro-image,covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro) · gemini-3-pro-image-preview google api,covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),covered,gemini-3-pro-image-preview google api · gemini 3 pro image preview · gemini 3 pro image preview pricing · gemini-3-pro-image-preview-2k (nano-banana-pro),inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
32,gemini-3.7-flash,/models/gemini-3.7-flash,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemini 3.7 flash,N/A,N/A,N/A,,,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini 3.7 flash,covered,gemini 3.7 flash,covered,gemini 3.7 flash,covered,,covered,,covered,,covered,,covered,,covered,,not_applicable,,covered,,covered,,covered,,covered,,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
33,gpt-5-mini,/models/gpt-5-mini,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-5-mini,openai gpt-5 mini model name api 2026,openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,informational+commercial+branded,700,3100,23,1000,200,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-5-mini,covered,gpt-5-mini · openai gpt-5 mini model name api 2026,covered,gpt-5-mini,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,not_applicable,,covered,openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs · openai gpt-5 mini model name api 2026,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,covered,openai gpt-5 mini model name api 2026 · openai gpt-5 mini model chatgpt documentation · gpt 5 mini parameters · gpt-5 mini specs,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
34,glm-5.3,/models/glm-5.3,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,glm-5.3,N/A,glm 5.3 when,branded/informational (inferred),30,150,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,glm-5.3,covered,glm-5.3,covered,glm-5.3,covered,glm 5.3 when,covered,glm 5.3 when,covered,glm 5.3 when,covered,glm 5.3 when,covered,glm 5.3 when,covered,glm 5.3 when,not_applicable,,covered,glm 5.3 when,covered,glm 5.3 when,covered,glm 5.3 when,covered,glm 5.3 when,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
35,gemini-pro-latest,/models/gemini-pro-latest,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-pro-latest,gemini nano banana pro prompts latest,gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,branded/informational (inferred),10,30,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-pro-latest,covered,gemini-pro-latest · gemini nano banana pro prompts latest,covered,gemini-pro-latest,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,not_applicable,,covered,gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026 · gemini nano banana pro prompts latest,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,covered,gemini nano banana pro prompts latest · gemini 3 pro latest · gemini-1.5-pro-latest · gemini pro latest updates 2026,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
36,gpt-5.6-terra,/models/gpt-5.6-terra,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-5.6-terra,gpt 5.6 terra cost,gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,branded/informational (inferred),40,200,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-5.6-terra,covered,gpt-5.6-terra · gpt 5.6 terra cost,covered,gpt-5.6-terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,not_applicable,,covered,gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra · gpt 5.6 terra cost,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,covered,gpt 5.6 terra cost · gpt-5.6 luna terra sol · gpt 5.6 terra cost · gpt 5.6 luna terra,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
37,gpt-image-2,/models/gpt-image-2,image,full,implemented_local_pending_staging_browser_fact_review,gpt image 2,gpt image 2 api,gpt image 2 api · gpt image generator · gpt image 2 prompt,informational+commercial+branded,5900,56000,58,25000,90,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,gpt image 2 · gpt image 2 api,covered,gpt image 2 · gpt image 2 api,covered,gpt image 2,covered,gpt image 2 · gpt image 2 api · gpt image generator,covered,gpt image 2 api · gpt image 2 api · gpt image generator · gpt image 2 prompt,covered,gpt image 2 api · gpt image 2 api · gpt image generator · gpt image 2 prompt,covered,gpt image 2 api · gpt image 2 api · gpt image generator · gpt image 2 prompt,covered,gpt image 2 api · gpt image 2 api · gpt image generator · gpt image 2 prompt,covered,,covered,gpt image 2 api · gpt image 2 api · gpt image generator · gpt image 2 prompt,covered,gpt image 2 api · gpt image generator · gpt image 2 prompt · gpt image 2 api,covered,,covered,,covered,,Ahrefs Questions + verified facts,6,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Curated priority pack implemented in website/src/lib/model-landing.ts; local tests pass; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
38,macaron-v1-coding-venti,/models/macaron-v1-coding-venti,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,macaron v1 coding venti,N/A,N/A,N/A,,,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,macaron v1 coding venti,covered,macaron v1 coding venti,covered,macaron v1 coding venti,covered,,covered,,covered,,covered,,covered,,covered,,not_applicable,,covered,,covered,,covered,,covered,,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
